mCherry.A.Comp.FITC.A,file
2.914769,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.555918,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.466723,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.480768,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.462097,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.77066,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.868558,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.164648,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.174599,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.484353,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.415111,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.484488,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.471891,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.456256,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.655891,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.664792,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.071834,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.000905,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.38853,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.676429,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.313493,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.36903,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.104697,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
6.099186,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.39079,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.40267,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.86751,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.634769,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.636715,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.274768,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.108646,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.339347,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.87923,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
4.440541,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.807683,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.85645,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
